location_clean,latitude,longitude
hal layout,12.9767102,77.6547468
hal nd stage,12.9612429,77.6369998
hal old airport road,12.9628509,77.6273702
hal rd stage,12.9702611,77.6450652
halanayakanahalli,12.8966653,77.6855489
hallehalli,,
handenahalli,12.8259815,77.7673455
hanumagiri,12.9180648,77.5363702
hanuman nagar,12.9700949,77.6561147
hanumanth nagar,12.9473478,77.5634776
hanumantha nagar,12.940641,77.5635429
haralur road,12.9018012,77.6641767
harappanahalli,12.7904755,77.6226863
harlur,12.9058923,77.675465
harohalli,13.1305028,77.5804603
harsha layout,12.9629824,77.3896189
havanur extension,,
hebbal,13.0382184,77.5919
hegde nagar,13.0720352,77.6333905
hegganahalli,13.0034737,77.5107376
hennagara,12.7906876,77.6741161
hennur,13.037077,77.6413572
hennur bande,13.0367624,77.6409616
hennur busstop,,
hennur gardens,13.0376905,77.6432902
hennur road,13.033236,77.6314559
herohalli,12.9912345,77.4870119
hessarghatta,13.0484259,77.5076232
high grounds,12.9865133,77.5830766
himagiri meadows,12.8963003,77.5894113
hiremath layout,,
hmt layout,13.03553,77.5027084
hommadevanahalli,12.8444398,77.598018
hongasandra,12.8986261,77.6286732
hoodi,12.9959233,77.7192796
hoodi circle,12.9919623,77.7154228
hoodi layout,12.9937325,77.7171734
horamavu agara,13.0366459,77.6548087
horamavu banaswadi,13.0189811,77.655591
hormavu,13.016672,77.6548126
hosa road,12.8700481,77.6535641
hosahalli,12.9660431,77.5414979
hosahalli extension,,
hosakerehalli,12.9299371,77.5374237
hosakerehalli layout,12.934592,77.5423407
hosapalya,12.8974222,77.6496873
hoskote,13.0318443,77.7618779
hoskote near,,
hosur main road,12.9232319,77.651423
hosur rmain road,,
hosur road,12.9148202,77.6242204
housing board layout vijay nagar,,
howthinarayanappa garden,,
hoysalanagar,,
hrbr layout,13.0141515,77.6340564
hsr layout,12.9116225,77.6388622
hulimavu,12.8773486,77.6028031
hullahalli,12.8244922,77.6175213
hunasamaranahalli,13.1398615,77.6230512
huskur,12.8607674,77.7071019
huttanahalli,,
iblur village,,
iggalur,12.781144,77.7014486
ilyas nagar,12.9070386,77.569309
immadihalli,12.9663991,77.762046
indira nagar rd stage,12.9768429,77.6465919
indira nagar stage,12.9768429,77.6465919
indiranagar,12.9732913,77.6404672
indranagar ft road defence colony,,
infantry road,12.9800059,77.6050006
isro layout,12.8974283,77.5573828
iti employees layout,,
iti layout,12.9665733,77.5016708
itpl,12.9846295,77.7377329
ittamadu,12.9233593,77.5418698
ivc road,13.2310899,77.6471534
j c nagar,13.006983,77.5928253
j p nagar th phase ramayya city,,
j p nagar th phase sarakki nagar,,
jagadish nagar,12.9650798,77.6646521
jagajyothi layout,,
jai bheema nagar,12.9194294,77.6169759
jakkasandra,12.9206827,77.6357104
jakkasandra extension,12.927699,77.6409796
jakkur,13.0784743,77.6068938
jakkur plantation,13.0834599,77.5980019
jakkuru layout,13.0709884,77.6171798
jaladarsini layout,,
jalahalli,13.0394104,77.5197351
jalahalli east,13.0676794,77.544685
jalahalli west,13.0533332,77.5306036
janatha colony,12.8694807,77.6960796
javarandoddi,,
jay an agar t block,,
jaya mahal layout,,
jaya nagar east,,
jayamahal,12.9959881,77.6014036
jayamahal extension,13.0011064,77.5969579
jayanti nagar,,
jaymahal road,,
jcr layout,12.933134,77.7043284
jeevan bima nagar,,
jeevanhalli,,
jigani,12.7764978,77.6326204
jinkethimmanahalli,,
jnana ganga nagar,,
jnanabharathi layout,,
jogupalya,12.9746882,77.628026
jp nagar,12.9096941,77.5866067
judicial layout,13.0837692,77.5860438
